project,run_id,run_name,state,metric,row_count,first_step,last_step,first_logical_step,last_logical_step
sft,0apww5h6,num_example_128,finished,eval/acc,3,64,194,1,3
sft,0apww5h6,num_example_128,finished,eval/format_acc,3,64,194,1,3
sft,0apww5h6,num_example_128,finished,eval_step,3,64,194,1,3
sft,0apww5h6,num_example_128,finished,train/entropy,192,0,193,1,192
sft,0apww5h6,num_example_128,finished,train/loss,192,0,193,1,192
sft,0apww5h6,num_example_128,finished,train_step,192,0,193,1,192
sft,c3nyf7f2,num_example_256,finished,eval/acc,6,64,389,1,6
sft,c3nyf7f2,num_example_256,finished,eval/format_acc,6,64,389,1,6
sft,c3nyf7f2,num_example_256,finished,eval_step,6,64,389,1,6
sft,c3nyf7f2,num_example_256,finished,train/entropy,384,0,388,1,384
sft,c3nyf7f2,num_example_256,finished,train/loss,384,0,388,1,384
sft,c3nyf7f2,num_example_256,finished,train_step,384,0,388,1,384
sft,u69oaafw,num_example_512,finished,eval/acc,12,64,779,1,12
sft,u69oaafw,num_example_512,finished,eval/format_acc,12,64,779,1,12
sft,u69oaafw,num_example_512,finished,eval_step,12,64,779,1,12
sft,u69oaafw,num_example_512,finished,train/entropy,768,0,778,1,768
sft,u69oaafw,num_example_512,finished,train/loss,768,0,778,1,768
sft,u69oaafw,num_example_512,finished,train_step,768,0,778,1,768
sft,gtj71m79,num_example_1024,finished,eval/acc,24,64,1559,1,24
sft,gtj71m79,num_example_1024,finished,eval/format_acc,24,64,1559,1,24
sft,gtj71m79,num_example_1024,finished,eval_step,24,64,1559,1,24
sft,gtj71m79,num_example_1024,finished,train/entropy,1536,0,1558,1,1536
sft,gtj71m79,num_example_1024,finished,train/loss,1536,0,1558,1,1536
sft,gtj71m79,num_example_1024,finished,train_step,1536,0,1558,1,1536
sft,acrxux7o,num_example_128_filtered,finished,eval/acc,3,64,194,1,3
sft,acrxux7o,num_example_128_filtered,finished,eval/format_acc,3,64,194,1,3
sft,acrxux7o,num_example_128_filtered,finished,eval_step,3,64,194,1,3
sft,acrxux7o,num_example_128_filtered,finished,train/entropy,192,0,193,1,192
sft,acrxux7o,num_example_128_filtered,finished,train/loss,192,0,193,1,192
sft,acrxux7o,num_example_128_filtered,finished,train_step,192,0,193,1,192
sft,mtke2sfj,num_example_256_filtered,finished,eval/acc,6,64,389,1,6
sft,mtke2sfj,num_example_256_filtered,finished,eval/format_acc,6,64,389,1,6
sft,mtke2sfj,num_example_256_filtered,finished,eval_step,6,64,389,1,6
sft,mtke2sfj,num_example_256_filtered,finished,train/entropy,384,0,388,1,384
sft,mtke2sfj,num_example_256_filtered,finished,train/loss,384,0,388,1,384
sft,mtke2sfj,num_example_256_filtered,finished,train_step,384,0,388,1,384
sft,6x3q6g8n,num_example_512_filtered,finished,eval/acc,12,64,779,1,12
sft,6x3q6g8n,num_example_512_filtered,finished,eval/format_acc,12,64,779,1,12
sft,6x3q6g8n,num_example_512_filtered,finished,eval_step,12,64,779,1,12
sft,6x3q6g8n,num_example_512_filtered,finished,train/entropy,768,0,778,1,768
sft,6x3q6g8n,num_example_512_filtered,finished,train/loss,768,0,778,1,768
sft,6x3q6g8n,num_example_512_filtered,finished,train_step,768,0,778,1,768
ei,d250kw7e,G_2_E_1,finished,eval/acc,5,16,86,1,5
ei,d250kw7e,G_2_E_1,finished,eval/format_acc,5,16,86,1,5
ei,d250kw7e,G_2_E_1,finished,eval_step,5,16,86,1,5
ei,d250kw7e,G_2_E_1,finished,train/entropy,82,0,85,1,82
ei,d250kw7e,G_2_E_1,finished,train/loss,82,0,85,1,82
ei,d250kw7e,G_2_E_1,finished,train_step,82,0,85,1,82
ei,3y19m46r,G_2_E_2,finished,eval/acc,5,32,426,1,5
ei,3y19m46r,G_2_E_2,finished,eval/format_acc,5,32,426,1,5
ei,3y19m46r,G_2_E_2,finished,eval_step,5,32,426,1,5
ei,3y19m46r,G_2_E_2,finished,train/entropy,422,0,425,1,422
ei,3y19m46r,G_2_E_2,finished,train/loss,422,0,425,1,422
ei,3y19m46r,G_2_E_2,finished,train_step,422,0,425,1,422
ei,e5m2n3ud,G_2_E_3,finished,eval/acc,5,48,685,1,5
ei,e5m2n3ud,G_2_E_3,finished,eval/format_acc,5,48,685,1,5
ei,e5m2n3ud,G_2_E_3,finished,eval_step,5,48,685,1,5
ei,e5m2n3ud,G_2_E_3,finished,train/entropy,681,0,684,1,681
ei,e5m2n3ud,G_2_E_3,finished,train/loss,681,0,684,1,681
ei,e5m2n3ud,G_2_E_3,finished,train_step,681,0,684,1,681
ei,e9e4wvcw,G_3_E_1,finished,eval/acc,5,25,124,1,5
ei,e9e4wvcw,G_3_E_1,finished,eval/format_acc,5,25,124,1,5
ei,e9e4wvcw,G_3_E_1,finished,eval_step,5,25,124,1,5
ei,e9e4wvcw,G_3_E_1,finished,train/entropy,120,0,123,1,120
ei,e9e4wvcw,G_3_E_1,finished,train/loss,120,0,123,1,120
ei,e9e4wvcw,G_3_E_1,finished,train_step,120,0,123,1,120
ei,6qeae18f,G_3_E_2,finished,eval/acc,5,50,648,1,5
ei,6qeae18f,G_3_E_2,finished,eval/format_acc,5,50,648,1,5
ei,6qeae18f,G_3_E_2,finished,eval_step,5,50,648,1,5
ei,6qeae18f,G_3_E_2,finished,train/entropy,644,0,647,1,644
ei,6qeae18f,G_3_E_2,finished,train/loss,644,0,647,1,644
ei,6qeae18f,G_3_E_2,finished,train_step,644,0,647,1,644
ei,nfzvw1wt,G_3_E_3,finished,eval/acc,5,75,1018,1,5
ei,nfzvw1wt,G_3_E_3,finished,eval/format_acc,5,75,1018,1,5
ei,nfzvw1wt,G_3_E_3,finished,eval_step,5,75,1018,1,5
ei,nfzvw1wt,G_3_E_3,finished,train/entropy,1014,0,1017,1,1014
ei,nfzvw1wt,G_3_E_3,finished,train/loss,1014,0,1017,1,1014
ei,nfzvw1wt,G_3_E_3,finished,train_step,1014,0,1017,1,1014
ei,tltljzmu,G_4_E_1,finished,eval/acc,5,33,497,1,5
ei,tltljzmu,G_4_E_1,finished,eval/format_acc,5,33,497,1,5
ei,tltljzmu,G_4_E_1,finished,eval_step,5,33,497,1,5
ei,tltljzmu,G_4_E_1,finished,train/entropy,493,0,496,1,493
ei,tltljzmu,G_4_E_1,finished,train/loss,493,0,496,1,493
ei,tltljzmu,G_4_E_1,finished,train_step,493,0,496,1,493
ei,hikziftg,G_4_E_2,finished,eval/acc,5,66,1050,1,5
ei,hikziftg,G_4_E_2,finished,eval/format_acc,5,66,1050,1,5
ei,hikziftg,G_4_E_2,finished,eval_step,5,66,1050,1,5
ei,hikziftg,G_4_E_2,finished,train/entropy,1046,0,1049,1,1046
ei,hikziftg,G_4_E_2,finished,train/loss,1046,0,1049,1,1046
ei,hikziftg,G_4_E_2,finished,train_step,1046,0,1049,1,1046
ei,szzl524a,G_4_E_3,finished,eval/acc,5,99,1654,1,5
ei,szzl524a,G_4_E_3,finished,eval/format_acc,5,99,1654,1,5
ei,szzl524a,G_4_E_3,finished,eval_step,5,99,1654,1,5
ei,szzl524a,G_4_E_3,finished,train/entropy,1650,0,1653,1,1650
ei,szzl524a,G_4_E_3,finished,train/loss,1650,0,1653,1,1650
ei,szzl524a,G_4_E_3,finished,train_step,1650,0,1653,1,1650
ei,33jy1tzw,G_5_E_1,finished,eval/acc,5,39,689,1,5
ei,33jy1tzw,G_5_E_1,finished,eval/format_acc,5,39,689,1,5
ei,33jy1tzw,G_5_E_1,finished,eval_step,5,39,689,1,5
ei,33jy1tzw,G_5_E_1,finished,train/entropy,685,0,688,1,685
ei,33jy1tzw,G_5_E_1,finished,train/loss,685,0,688,1,685
ei,33jy1tzw,G_5_E_1,finished,train_step,685,0,688,1,685
ei,t8btj8jt,G_5_E_2,finished,eval/acc,5,78,1580,1,5
ei,t8btj8jt,G_5_E_2,finished,eval/format_acc,5,78,1580,1,5
ei,t8btj8jt,G_5_E_2,finished,eval_step,5,78,1580,1,5
ei,t8btj8jt,G_5_E_2,finished,train/entropy,1576,0,1579,1,1576
ei,t8btj8jt,G_5_E_2,finished,train/loss,1576,0,1579,1,1576
ei,t8btj8jt,G_5_E_2,finished,train_step,1576,0,1579,1,1576
